Course Title,Qty,Training Location,Student's Unit,Year
Medical Strategic Leadership Program,1,"Ft. Sam Houston, TX, US",HARAP,2016
Multiple Criteria Decision Making Course,2,"Monterey, CA, US",Equipment Group,2016
Multiple Criteria Decision Making Course,3,"Monterey, CA, US",Ministry Of Defense,2016
Multiple Criteria Decision Making Course,3,"Monterey, CA, US",Ministry Of Defense,2016
Naval Command College,1,"Newport, RI, US",Flotilla 13,2016
Naval Staff College,1,"Newport, RI, US",Head Of Commander In Chief Office,2016
Operational Law Of Armed Conflict,3,"Charlottesville, VA, US",MAG,2016
Professional Military Education PREP (PME PREP),1,"Lackland AFB, TX, US",YAHALOM,2016
Risk Management,3,"Monterey, CA, US",MOD,2016
Sim Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
Theater Air Options Course (TAOC),2,"Tyndall AFB, FL, US",Unit 501,2016
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",123RD Squadron,2016
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",124TH Squadron,2016
Air War College Visit,1,"Washington, D.C.",Israeli Defense Forces,2016
Combating Transnational Threats Senior Executive Seminar,1,"Washington, D.C.",Israel Ministry of Foreign Affairs,2016
Executive Seminar,1,"Washington, D.C.",Israel Ministry of Foreign Affairs,2016
Executive Seminar,1,"Washington, D.C.",Israeli Defense Forces,2016
Executive Seminar,1,"Washington, D.C.",Prime Minister's Office,2016
"Executive Seminar : Beyond Sykes Picot: Systems, States, & Societies in the New 21st Century",1,"Washington, D.C.",Israel Ministry of Foreign Affairs,2016
"Executive Seminar : Beyond Sykes Picot: Systems, States, & Societies in the New 21st Century",1,"Washington, D.C.",Israeli Defense Forces,2016
"Executive Seminar : Beyond Sykes Picot: Systems, States, & Societies in the New 21st Century",1,"Washington, D.C.",Prime Minister's Office,2016
Global CT Community of Interest Workshop,1,"Garmisch-Partenkirchen, Germany",Private Business,2016
Regional Security & Cooperation Track II,4,"Prague, Czech Republic",Institute for National Security Studies,2016
Regional Security & Cooperation Track II,1,"Prague, Czech Republic",James Martin Center for Nonproliferation Studies,2016
Regional Security & Cooperation Track II,28,"Prague, Czech Republic",N/A,2016
Strategic Studies Network Summit Region in 2020,4,"Ankara, Turkey",Institute for National Security Studies,2016
Strategic Studies Network-European Institute of the Mediterranean Violent Extremism Among Youth Workshop,1,"Barcelona, Spain",Institute for National Security Studies,2016
Washington Embassy Orientation,1,"Washington, D.C.",Embassy of Israel in the United States,2016
