Course Title,Qty,Training Location,Student's Unit,Year
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2016
AH-64 LCT Simulator,3,"Ft. Rucker, AL, US",113TH Squadron,2016
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2016
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2016
AH-64 LCT Simulator,3,"Ft. Rucker, AL, US",113TH Squadron,2016
Air War College (AWC) Resident Program,1,"Maxwell AFB, AL, US",113TH Squadron,2016
Army War College (Resident Course),1,"Carlisle Barracks, PA, US",460TH Training Brigade,2016
C-130 Sim Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130 Sim Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2016
C-130E SIM REFR(P/CP/FE)12SH,1,"Mcchord AFB, WA, US",122ND Squadron,2016
C-130E SIM REFR(P/CP/FE)12SH,2,"Mcchord AFB, WA, US",131ST Squadron,2016
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2016
C-130J Sim Ref Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",131ST Squadron,2016
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",131ST Squadron,2016
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J Sim Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
C-130J Sim Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2016
Command And General Staff Officer's Course,1,"Ft. Leavenworth, KS, US",162ND Division,2016
Command And General Staff Officer's Course PREP,1,"Ft. Leavenworth, KS, US",YAHALOM,2016
Contract Attorneys Course,1,"Charlottesville, VA, US",Military Advocate General,2016
Defense TECH & SYS-MS,1,"Monterey, CA, US","Research And Development, MAZI",2016
DISCS DSCA International Purchaser (Finance & Logistics),1,"Wright Patterson AFB, OH, US",Equipment Group,2016
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",AMAN,2016
Engineer Captains Career,1,"Ft. Leonard Wood, MO, US",BAHALATZ,2016
Engineer CCC International STU PREP,1,"Ft. Leonard Wood, MO, US",BAHALATZ,2016
FA Off Advanced Preparatory-Allied Officer,1,"Ft. Sill, OK, US",Field Artillery HQ (MAZI),2016
FA Off Advanced Preparatory-Allied Officer,1,"Ft. Sill, OK, US",Artillery Corps Commanding Officer HQ,2016
Field Artillery Captains Career,1,"Ft. Sill, OK, US",Field Artillery HQ (MAZI),2016
Gas Free ENGRG,2,"Jacksonville, FL, US",Engineering Company,2016
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",EGOZ,2016
Initial Naval Aviation Survival Training,1,"Patuxent River, MD, US",Squadron 5601,2016
Intermediate Trial Advocacy Course,1,"Charlottesville, VA, US",HOMEFRONT Command,2016
International Law Of MIL Operations I-LOMO,1,"DILS, Newport, RI, US",Department Of International Law,2016
International Off School (For AWC),1,"Maxwell AFB, AL, US",131ST Squadron,2016
International Officer INTEL Captains Career,1,"Ft. Huachuca, AZ, US",Southern Command,2016
International Officer Intelligence CCC PREP,1,"Ft. Huachuca, AZ, US",Southern Command,2016
International Officer Preparatory,1,"Ft. Leavenworth, KS, US",YAHALOM,2016
International Trauma Training For Medical Forces,1,"Los Angeles, CA, US",IDF Medical Corps,2016
International Trauma Training For Medical Forces,1,"Los Angeles, CA, US",IDF-MC-TB,2016
International Trauma Training For Medical Forces,5,"Los Angeles, CA, US",Southern Surgical Team,2016
International Trauma Training For Medical Forces,7,"Los Angeles, CA, US",IDF-MC-TB,2016
Judge Advocate Officer Graduate,1,"Charlottesville, VA, US",IDF MAG Corps,2016
Maneuver Captains Career,1,"Ft. Benning, GA, US","53RD SUFA (""STORM"") Battalion",2016
Maneuver Captains Career,1,"Ft. Benning, GA, US",828TH School For Infantry And Squad Leaders,2016
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US","53RD SUFA (""STORM"") Battalion",2016
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",828TH School For Infantry And Squad Leaders,2016
