Course Title,Qty,Training Location,Student's Unit,Year
Air War College (AWC) Resident,1,"Maxwell AFB, AL, US",NEVATIM AFB,2018
American Language Course General English Training Only,1,"Lackland AFB, TX, US",Flotilla 13,2018
Army War College (Resident Course),1,"Carlisle Barracks, PA, US",460TH Brigade,2018
AWC Preparatory Course,1,"Maxwell AFB, AL, US",66TH Battalion,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",135TH Squadron,2018
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",135TH Squadron,2018
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
