Course Title,Qty,Training Location,Student's Unit,Year
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",131ST Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
Contract Attorneys Course,1,"Charlottesville, VA, US",MAG,2018
CT Training - C-130J SIM Refresher SIM Only (NAV),1,"Keesler AFB, MS, US",103RD Squadron,2018
Defense TECH & SYS-MS,1,"Monterey, CA, US",MAFAT,2018
DISCS International Purchaser Finance & Logistics,1,"Wright Patterson AFB, OH, US",LIASON Unit,2018
Engineer Captains Career,1,"Ft. Leonard Wood, MO, US",601ST Battalion,2018
Engineer CCC International Student Preparation,1,"Ft. Leonard Wood, MO, US",601ST Battalion,2018
Experimental Test Pilot Course,1,"Edwards AFB, CA, US",5601ST Squadron,2018
Field Artillery Captains Career,1,"Ft. Sill, OK, US",Field Artillery Head Quarters,2018
Flight Safety Officer (SATP/FSO),1,"Kirtland AFB, NM 87117",Equipment Group,2018
Flight Safety Officer (SATP/FSO),1,"Kirtland AFB, NM 87117",Safety And Quality Control,2018
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
HC-130J Loadmaster SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
HC-130J Loadmaster SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",131ST Squadron,2018
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
HC-130J Mission Pilot SIM Refresher,3,"DAVIS-MONTHAN AFB, AZ 85707",103RD Squadron,2018
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",Central Command,2018
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",GOLANI Brigade,2018
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",Central Command,2018
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",GOLANI Brigade,2018
Initial Naval Aviation Survival Training,1,"Patuxent River, MD, US",5601ST Squadron,2018
International Fellows Orientation,1,"Carlisle Barracks, PA, US",BINYAMIN TERRITORIAL BDE,2018
International Maritime Staff Officer Course (I-MSOC),1,NAVAL WAR COLLEGE INTL MARITIME STAFF OPERATORS COURSE,MAFI,2018
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",IDF Medical Corps,2018
International Trauma Training For Medical Forces (IS),5,"Los Angeles, CA, US",Southern Command Surgical Team,2018
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",Medical Corps HQ,2018
International Trauma Training For Medical Forces (IS),2,"Los Angeles, CA, US",Southern Command Surgical Team,2018
International Trauma Training For Medical Forces (IS),3,"Los Angeles, CA, US","Surgical Unit, Northern Command",2018
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",Naval Surgical Team,2018
International Trauma Training For Medical Forces (IS),5,"Los Angeles, CA, US",Navy Surgical Team,2018
International Trauma Training For Medical Forces (IS),6,"Los Angeles, CA, US",Central Command Surgical Team,2018
Intro Budgeting Concepts,1,"Monterey, CA, US",MOD,2018
Joint C4 Planners,1,"Ft. Gordon, GA, US",Telecom Center,2018
Judge Advocate Officer Graduate,1,"Charlottesville, VA, US",MAG,2018
Maneuver Captains Career,1,"Ft. Benning, GA, US",51ST Battalion,2018
Maneuver Captains Career,1,"Ft. Benning, GA, US",9TH Battalion,2018
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",51ST Battalion,2018
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",9TH Battalion,2018
Medical Strategic Leadership Program,1,"Ft. Sam Houston, TX, US",IDF Medical HQ,2018
Military Judge Course,1,"Charlottesville, VA, US",Military Courts Unit,2018
Multiple Criteria Decision Making Course,3,"Monterey, CA, US",MOD,2018
Naval Command College,1,"Newport, RI, US",7TH Submarine Flotilla,2018
Naval Staff College,1,"Newport, RI, US",3RD Flotilla,2018
NWC International Fellows,1,"Ft. Mcnair, NDU, DC, US",AGAT,2018
Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
Observer,1,"Keesler AFB, MS, US",103RD Squadron,2018
Operational Law Of Armed Conflict,2,"Charlottesville, VA, US",MAG,2018
Operational Law Of Armed Conflict,1,"Charlottesville, VA, US",Military Prosecutor Unit,2018
Performance Management And Budgeting,1,"Monterey, CA, US",MAZI HQ,2018
Performance Management And Budgeting,1,"Monterey, CA, US",MOD,2018
Risk Management,1,"Monterey, CA, US",ATAL HQ,2018
Risk Management,3,"Monterey, CA, US",MOD,2018
Risk Management,1,"Monterey, CA, US",MOFET,2018
Theater Air Options Course (TAOC),1,"Tyndall AFB, FL, US",QIRYA,2018
Theater Air Options Course (TAOC),1,"Tyndall AFB, FL, US",YABA 506,2018
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",118TH Squadron,2018
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",123RD Squadron,2018
