Course Title,Qty,Training Location,Student's Unit,Year
B-707 REC Vegas,3,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,1,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,1,"HENDERSON, NV 89014",120ND SQUADRON,2019
B-707 REC Vegas,4,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,2,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,4,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,1,"HENDERSON, NV 89014",122ND SQUADRON,2019
B-707 REC Vegas,3,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,7,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,1,"HENDERSON, NV 89014",131ST SQUADRON,2019
B-707 VAST Vegas,6,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 VAST Vegas,2,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 VAST Vegas,2,"HENDERSON, NV 89014",120TH SQUADRON,2019
Bell Heli Contractor Training,1,Bell Helicopter Corp Training,113TH SQUADRON,2019
Bell Heli Contractor Training,1,Bell Helicopter Corp Training,BISAT 12,2019
Bell Heli Contractor Training,1,Bell Helicopter Corp Training,123RD SQUADRON,2019
Bell Heli Contractor Training,1,Bell Helicopter Corp Training,190TH SQUADRON,2019
Bell Heli Contractor Training,2,Bell Helicopter Corp Training,BISAT 12,2019
Bell Heli Contractor Training,2,Bell Helicopter Corp Training,BISAT 12,2019
C-130 REC/Tampa,7,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,7,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,4,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,7,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,7,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,7,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,6,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,6,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,5,"Tampa, FL, US",131ST SQUADRON,2019
C-130 REC/Tampa,5,"Tampa, FL, US",131ST SQUADRON,2019
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Pilot,1,"Keesler AFB, MS, US",131ST SQUADRON,2019
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD SQUADRON,2019
Capstone Course,1,Defense Health Headquarters,DEFENSE HEALTH AGENCY,2019
Contract Attorneys Course,1,"Charlottesville, VA, US",MAG CORPS,2019
Contractor Training,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
Contractor Training,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
Contractor Training,3,"HENDERSON, NV 89014",120TH SQUADRON,2019
Contractor Training,1,"HENDERSON, NV 89014",131ST SQUADRON,2019
Contractor Training,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
D9R Training,1,Israel (In Country Training),Army,2019
D9T Training,1,Israel (In Country Training),Army,2019
Defense TECH & SYS-MS,1,"Monterey, CA, US",MAFAT,2019
Early REPORT DATE,1,"Ft. Benning, GA, US",196TH BATTALION,2019
Early REPORT DATE,1,"Ft. Benning, GA, US",NAHAL,2019
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",CENTRAL COMMAND,2019
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",GOLANI BRIGADE,2019
F-35 Initial Cadre TRANS Maintenance TRG (IS),6,"Eglin AFB, FL, US",140TH SQUADRON,2019
F-35 Initial Cadre TRANS Maintenance TRG (IS),6,"Eglin AFB, FL, US",140TH SQUADRON,2019
F-35 Weapons Load Training,6,"Eglin AFB, FL, US",140TH SQUADRON,2019
Fixed Wing Flight Test Engineer,1,"Patuxent River, MD, US",5601ST SQUADRON,2019
Flight Safety Officer (SATP/FSO),1,"Kirtland AFB, NM 87117",Safety and Quality Control,2019
FMTV Maintenance/Operator Training,1,Israel (In Country Training),Army,2019
"G550 REC Wilmington, DE",3,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",3,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",3,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",3,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",1,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",2,"New Castle, DE, US",131ST SQUADRON,2019
"G550 REC Wilmington, DE",1,"New Castle, DE, US",120TH SQUADRON,2019
"G550 REC Wilmington, DE",2,"New Castle, DE, US",122ND SQUADRON,2019
"G550 REC Wilmington, DE",3,"New Castle, DE, US",122ND SQUADRON,2019
Generic Contractor,1,Israel (In Country Training),Army,2019
"GV Initial Observer Savannah, GA",1,"Savannah, GA, US",120TH SQUADRON,2019
"GV Initial Observer Savannah, GA",1,"Savannah, GA, US",122ND SQUADRON,2019
"GV Initial Observer Savannah, GA",2,"Savannah, GA, US",122ND SQUADRON,2019
"GV Initial Observer Savannah, GA",1,"Savannah, GA, US",135TH SQUADRON,2019
"GV REC Observer Savannah, GA",3,"New Castle, DE, US",122ND SQUADRON,2019
"GV REC Observer Savannah, GA",3,"New Castle, DE, US",122ND SQUADRON,2019
"GV REC Observer Savannah, GA",3,"New Castle, DE, US",122ND SQUADRON,2019
"GV REC Observer Savannah, GA",2,"New Castle, DE, US",122ND SQUADRON,2019
"GV REC Observer Savannah, GA",1,"New Castle, DE, US",135TH SQUADRON,2019
"GV REC Observer Savannah, GA",3,"Savannah, GA, US",122ND SQUADRON,2019
"GV REC Observer Savannah, GA",3,"New Castle, DE, US",122ND SQUADRON,2019
HAI - Helicopter Accident Investigation Course,1,SOUTHERN CALIFORNIA SAFETY INSTITUTE,Israeli Air Force Safety Center - Accident Investigation Branch,2019
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Combat Systems Officer SIM Refresher,1,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Loadmaster SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
HC-130J Mission Pilot SIM Refresher,2,"DAVIS-MONTHAN AFB, AZ 85707",103RD SQUADRON,2019
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",35TH PARATROOPER BDE,2019
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",8200,2019
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",AIR WING 1,2019
IF American Studies,1,"Ft. Mcnair, NDU, DC, US",EGED 282,2019
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",35TH PARATROOPER BDE,2019
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",8200,2019
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",AIR WING 1,2019
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",EGED 282,2019
IM - Investigation Management,1,SOUTHERN CALIFORNIA SAFETY INSTITUTE,ACCIDENT INVESTIGATION-HAKIRYA BASE,2019
International CIC Watch Officer,2,"Newport, RI, US",3RD FLOTILLA,2019
International Fellows Orientation,1,"Carlisle Barracks, PA, US",UNIT 76,2019
International Trauma Training For Medical Forces (IS),4,"Los Angeles, CA, US",NORTHERN COMMAND SURGICAL TEAM,2019
International Trauma Training For Medical Forces (IS),2,"Los Angeles, CA, US",SOUTHERN COMMAND SURGICAL TEAM,2019
International Trauma Training For Medical Forces (IS),5,"Los Angeles, CA, US",CENTRAL COMMAND SURGICAL TEAM,2019
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",MEDICAL ORGANIZATIONAL DIVISION,2019
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",IDF-MC-TB,2019
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",NORTHERN COMMAND SURGICAL TEAM,2019
International Trauma Training For Medical Forces (IS),8,"Los Angeles, CA, US",SOUTHERN COMMAND SURGICAL TEAM,2019
International Trauma Training For Medical Forces (IS),1,"Los Angeles, CA, US",SOUTHERN SURGICAL TEAM,2019
Intro Budgeting Concepts,1,"Monterey, CA, US",BUDGET AND COMPTROLLER DEPARTMENT,2019
Intro Budgeting Concepts,1,"Monterey, CA, US",BUDGET AND COMPTROLLER OFFICE,2019
Joint C4 Planners,1,"Ft. Gordon, GA, US",J6/C4I,2019
Joint Logistics,1,"Ft. Lee, VA, US",2ND INF BDE,2019
Joint Logistics,1,"Ft. Lee, VA, US",933RD INFANTRY BRIGADE,2019
Judge Advocate Officer Graduate,1,"Charlottesville, VA, US",MAG,2019
KC-10 Boom Operator Observer,1,"Mcguire AFB, NJ, US",120TH SQUADRON,2019
KC-10 Boom Operator SIM REFR,2,"Mcguire AFB, NJ, US",120TH SQUADRON,2019
Maneuver Captains Career,1,"Ft. Benning, GA, US",196TH BATTALION,2019
Maneuver Captains Career,1,"Ft. Benning, GA, US",NAHAL,2019
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",196TH BATTALION,2019
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",NAHAL,2019
MED Management Of Chemical & BIOL Casualties,2,"Edgewood Proving Grounds, MD, US",IMOD,2019
MED Management Of Chemical & BIOL Casualties PH 2,2,"Edgewood Proving Grounds, MD, US",IMOD,2019
Medical Strategic Leadership Program,1,"Ft. Sam Houston, TX, US",MEDICAL CORPS HQ,2019
Military Judge Course,1,"Charlottesville, VA, US",MILITARY COURTS UNIT,2019
MTT Aviation,1,Israel (In Country Training),Army,2019
Multinational Electronic Warfare International Officer Course (SATP),1,"Pensacola, FL, US",555TH SQUADRON,2019
Multiple Criteria Decision Making Course,3,"Monterey, CA, US",BUDGET AND COMPTROLLER DEPARTMENT,2019
Multiple Criteria Decision Making Course,2,"Monterey, CA, US",MOD,2019
National Security And Law Of Armed Conflict,3,"Charlottesville, VA, US",MAG CORPS,2019
Naval Command College,1,"Newport, RI, US",ISRAEL NAVAL ACADEMY,2019
Naval Staff College,1,"Newport, RI, US",FLOTILLA 13,2019
NTPS Flight Engineer,1,"Mojave, CA, US",5601ST SQUADRON,2019
Performance Management And Budgeting,2,"Monterey, CA, US",IDF BUDGET CORPS,2019
Pre-Course NTPS Flight Engineer (Rotary Wing),1,"Mojave, CA, US",5601ST FLIGHT TEST CENTER,2019
Pre-Course NTPS Test Pilot (Fixed Wing),1,"Mojave, CA, US",5601ST FLIGHT TEST CENTER,2019
Pre-Course NTPS Test Pilot (Rotary Wing),1,"Mojave, CA, US",190TH SQUADRON,2019
Risk Management,1,"Monterey, CA, US",ATAK,2019
Risk Management,1,"Monterey, CA, US",IMOD,2019
Simulator Training,1,Israel (In Country Training),Army,2019
Survival Syetems,2,"Groton, CT, US",118TH SQUADRON,2019
Survival Syetems,1,"Groton, CT, US",123RD SQUADRON,2019
Survival Syetems,3,"Groton, CT, US",193RD SQUADRON,2019
Survival Syetems,8,"Groton, CT, US",123RD SQUADRON,2019
Survival Syetems,4,"Groton, CT, US",190TH SQUADRON,2019
Survival Syetems,9,"Groton, CT, US",123RD SQUADRON,2019
Survival Syetems,1,"Groton, CT, US",124TH SQUADRON,2019
Survival Syetems,3,"Groton, CT, US",113TH SQUADRON,2019
Survival Syetems,3,"Groton, CT, US",118TH SQUADRON,2019
Survival Syetems,2,"Groton, CT, US",193RD SQUADRON,2019
Survival Syetems,2,"Groton, CT, US",669TH SQUADRON,2019
Survival Syetems,1,"Groton, CT, US",118TH SQUADRON,2019
Survival Syetems,2,"Groton, CT, US",124TH SQUADRON,2019
Survival Syetems,3,"Groton, CT, US",193RD SQUADRON,2019
Survival Syetems,9,"Groton, CT, US",123RD SQUADRON,2019
Survival Syetems,1,"Groton, CT, US",Israeli Air Force Safety Center - Accident Investigation Branch,2019
Survival Syetems,1,"Groton, CT, US",120TH SQUADRON,2019
Survival Syetems,6,"Groton, CT, US",123RD SQUADRON,2019
Survival Syetems,2,"Groton, CT, US",124TH SQUADRON,2019
Survival Syetems,2,"Groton, CT, US",193RD SQUADRON,2019
Theater Air Options Course (TAOC),2,"Tyndall AFB, FL, US",Air Traffic Controller Unit 506 (Yaba 506),2019
Training In spt Of AN/AVS-6,4,"Londonderry, NH",Army,2019
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",114TH SQUADRON,2019
UH-60 Power Management Mountain Qualification,1,"Gypsum, CO, US",124TH SQUADRON,2019
VAST C-130 REC/Tampa,2,"Tampa, FL, US",131ST SQUADRON,2019
