Course Title,Qty,Training Location,Student's Unit,Year
AATTC Observer Training,5,"St. Joseph, MO, US",103RD SQUADRON,2019
ACSC Preparatory Course,1,"Maxwell AFB, AL, US",117TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,1,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,5,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,5,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,1,"Illesheim, GY",160TH SQUADRON,2019
AH-64D LCT Simulator,5,"Illesheim, GY",113TH SQUADRON,2019
AH-64D LCT Simulator,6,"Illesheim, GY",113TH SQUADRON,2019
Air War College(AWC)Resident Masters Degree Program,1,"Maxwell AFB, AL, US",66TH BATTALION,2019
ANG Advanced Air Lift Tactics TRG Center Course AATTC,10,"St. Joseph, MO, US",103RD SQUADRON,2019
ANG Advanced Air Lift Tactics TRG Center Course AATTC,2,"St. Joseph, MO, US",131ST SQUADRON,2019
Army War College (Resident Course),1,"Carlisle Barracks, PA, US",BINYAMIN TERRITORIAL BDE,2019
B-707 REC Vegas,2,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,8,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,8,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,3,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,1,"HENDERSON, NV 89014",122ND SQUADRON,2019
B-707 REC Vegas,4,"HENDERSON, NV 89014",120TH SQUADRON,2019
B-707 REC Vegas,5,"HENDERSON, NV 89014",120TH SQUADRON,2019
