Course Title,Qty,Training Location,Student's Unit,Year
C-130J Propulsion Systems,1,"Little Rock AFB, AR, US",Maintenance Group,2014
C-130J Propulsion Systems,1,"Little Rock AFB, AR, US",NEVATIM,2014
C-130J Propulsion Systems,1,"Little Rock AFB, AR, US",NEVATIM!!!,2014
C-130J Propulsion Systems,1,"Little Rock AFB, AR, US",NEVATIM!!!!,2014
C-130J SIM REF Observer,1,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J SIM Refresher - Loadmaster,1,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J SIM Refresher Observer,1,"Keesler AFB, MS, US",103RD Squadron,2014
Command And General Staff Officer'S Course,1,"Ft. Leavenworth, KS, US",74TH SA`AR (STORM) Armor Battalion,2014
Command And General Staff Officer'S Course PREP,1,"Ft. Leavenworth, KS, US",YAHALOM,2014
Defense RES Management Course,1,"Monterey, CA, US",Service And Hosting Unit-MOD,2014
Defense TECH & SYS-MS,1,"Monterey, CA, US",Ground Forces Planning Division,2014
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",Intelligence Directorate,2014
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",Unit 5101 SHALDAG,2014
Engineer Captains Career,1,"Ft. Leonard Wood, MO, US",14th Military Engineering School (Bahalatz),2014
Engineer CCC International STU PREP,1,"Ft. Leonard Wood, MO, US",14th Military Engineering School (Bahalatz),2014
FA Off Advanced Preparatoryied Officer,1,"Ft. Sill, OK, US",9th Artillery School (Bislat),2014
Field Artillery Captains Career,1,"Ft. Sill, OK, US",9th Artillery School (Bislat),2014
Flight Safety Officer (SATP/FSO),1,"Kirtland AFB, NM, US",Israeli Air Force Safety Center,2014
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",162nd HaPlada (the Steel Division),2014
IF Preparatory Course,1,"Ft. Mcnair, NDU, DC, US",Special Operations Detachment For Aman,2014
Initial PHYSIO Hypoxia Training,1,"Little Rock AFB, AR, US",Unit 757,2014
Initial PHYSIO Hypoxia Training,1,"Little Rock AFB, AR, US",Unit 757,2014
Intermediate Trial Advocacy Course,1,"Charlottesville, VA, US",Military Prosecution,2014
International Fellows Orientation,1,"Carlisle Barracks, PA, US",Unknown,2014
International Officer INTEL Captains Career,1,"Ft. Huachuca, AZ, US",162ND Armored Division,2014
International Officer Preparatory,1,"Ft. Leavenworth, KS, US",YAHALOM,2014
International Officer School (For ACSC),1,"Maxwell AFB, AL, US",Air Defense Commanders School 833,2014
International Officer School (For AWC),1,"Maxwell AFB, AL, US",113TH Squadron,2014
Judge Advocate Officer Graduate,1,"Charlottesville, VA, US",Military Advocate General,2014
KC-10 Boom OPR SIM REFR,3,"Mcguire AFB, NJ, US",120TH Squadron,2014
KC-10 Boom OPR SIM REFR,3,"Mcguire AFB, NJ, US",120TH Squadron,2014
Multi-Criteria Decision Making,1,"Monterey, CA, US",Department Of Data Systems Analysis-MOD,2014
Multi-Criteria Decision Making,1,"Monterey, CA, US",Department Of Regulations-MOD,2014
Multi-Criteria Decision Making,1,"Monterey, CA, US",Legal Department-MOD,2014
Operational Law Of Armed Conflict,1,"Charlottesville, VA, US",IDF Spokesperson (DOTZ),2014
Theater Air Options Course (TAOC),2,"Tyndall AFB, FL, US",Air Traffic Control Unit 506,2014
Trauma Training For International Medical Forces,1,"Los Angeles, CA, US",GAZA Medical Division,2014
Trauma Training For International Medical Forces,1,"Los Angeles, CA, US",Medical Corps HQ Surgical,2014
Trauma Training For International Medical Forces,4,"Los Angeles, CA, US",Northern Command Surgical Team,2014
Defense RES Management Course,1,"Monterey, CA, US",National Emergency Management Authority MOD,2014
Flight Safety Officer (SATP/FSO),1,"Kirtland AFB, NM, US",Israeli Air Force Safety Center - Accident Investigation Branch,2014
Maneuver Captains Career,1,"Ft. Benning, GA, US",75th Roman (Lance) Battalion ,2014
Maneuver Captains Career,1,"Ft. Benning, GA, US","Specialty Company, 51st (First Breakthrough) Battalion",2014
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US",75th Roman (Lance) Battalion,2014
Maneuver CCC IMSO PREP,1,"Ft. Benning, GA, US","Specialty Company, 51st (First Breakthrough) Battalion",2014
Military Judge Course,1,"Charlottesville, VA, US",Military Courts,2014
Naval Command College,1,"Newport, RI, US",7TH Submarine Flotila,2014
Naval Staff College - 10 Month,1,"Newport, RI, US",Naval Command Headquarters,2014
Operational Law Of Armed Conflict,1,"Charlottesville, VA, US",6015TH Criminal Investigations Division (Metzah),2014
