Course Title,Qty,Training Location,Student's Unit,Year
Advanced Management PROG,1,"Ft. Mcnair, NDU, DC, US",J6,2014
AFC Initial PHYSIO Hypoxia Training,1,"Lackland AFB, TX, US",IAF Experimental Flight Center,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2014
AH-64D Aviator Qualification (Israel),2,"Ft. Rucker, AL, US",BISLAT,2014
Air Command & Staff College (ACSC Resident Course),1,"Maxwell AFB, AL, US",IAF Air Wing 28,2014
Air War College (AWC) Resident Program,1,"Maxwell AFB, AL, US",IAF Air Wing 15,2014
ALC Specialized English Training Only,1,"Lackland AFB, TX, US",IAF Experimental Flight Center,2014
Army Maintenance Management,1,"Ft. Lee, VA, US","Unit 653, Southern Command",2014
Army War College (Resident Course),1,"Carlisle Barracks, PA, US",GEFFEN Battalion,2014
Budget Preparation Execution & Accounting,1,"Monterey, CA, US",MOD,2014
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2014
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2014
C-130J Aviation Maintenance Course (AVN) Israel,4,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J Aviation Maintenance Course (AVN) Israel,2,"Little Rock AFB, AR, US",IAF Contracted Civilian,2014
C-130J Aviation Maintenance Course (AVN) Israel,1,"Little Rock AFB, AR, US",IAF Technical School,2014
C-130J Aviation Maintenance Course (AVN) Israel,1,"Little Rock AFB, AR, US",Maintenance School,2014
C-130J Aviation Maintenance Course (AVN) Israel,2,"Little Rock AFB, AR, US",Maintenance Squadron,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),4,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),2,"Little Rock AFB, AR, US",Equipment Group,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),1,"Little Rock AFB, AR, US",IAF Technical Professions School,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),1,"Little Rock AFB, AR, US",IAI,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),1,"Little Rock AFB, AR, US",Israeli Air Force Technical School,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),6,"Little Rock AFB, AR, US",Maintenance Squadron,2014
C-130J Avionics & ELEC SYS Maintenance Course (AVS),1,"Little Rock AFB, AR, US",NEVATIM-----,2014
C-130J Loadmaster TRANS Short (Qualification & Mission),2,"Little Rock AFB, AR, US",131ST Squadron,2014
C-130J Loadmaster TRANS Short (Qualification & Mission),1,"Little Rock AFB, AR, US",Unit 757,2014
C-130J Loadmaster TRANS Short (Qualification & Mission),1,"Little Rock AFB, AR, US",Unit 757,2014
C-130J Maintenance Engine Ground Run Initial Qualification,1,"Keesler AFB, MS, US",103RD Squadron,2014
C-130J Maintenance Engine Ground Run Initial Qualification,2,"Keesler AFB, MS, US",IAF Contracted Civilian,2014
C-130J Maintenance Engine Ground Run Initial Qualification,1,"Keesler AFB, MS, US",Maintenance Squadron,2014
C-130J NAV Mission Observer (Israel),1,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J NAV Mission Observer (Israel),1,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J Pilot Transition Short (Qualification/Mission) IS,2,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J Pilot Transition Short (Qualification/Mission) IS,2,"Little Rock AFB, AR, US",103RD Squadron,2014
C-130J Propulsion Systems,1,"Little Rock AFB, AR, US",Israeli Air Force Technical School,2014
