Course Title,Qty,Training Location,Student's Unit,Year
Trauma Training For International Medical Forces,1,"Los Angeles, CA, US",GAZA Medical Division,2015
Trauma Training For International Medical Forces,6,"Los Angeles, CA, US",Naval Surgical Team,2015
Trauma Training For International Medical Forces,2,"Los Angeles, CA, US",IDF Medical Corps HQ,2015
Trauma Training For International Medical Forces,4,"Los Angeles, CA, US","Surgical Unit, Northern Command",2015
Trauma Training For International Medical Forces,6,"Los Angeles, CA, US",Southern Command Surgical Team,2015
UH-60 Power Management Mountain Qualification,2,"Gypsum, CO, US",114TH Squadron,2015
Combating Terrorism Senior Executive Seminar 02-15,1,"Washington D.C., USA",Israeli Defense Forces,2015
Combating Transnational Threats Executive Seminar 01-15,1,"Washington D.C., USA",Israeli Defense Forces,2015
Combating Transnational Threats Executive Seminar 01-15,1,"Washington D.C., USA",Ministry of Foreign Affairs,2015
Executive Seminar 01-15,1,"Washington D.C., USA",Ministry of Foreign Affairs,2015
Executive Seminar 01-15,1,"Washington D.C., USA",Ministry of Intelligence,2015
Executive Seminar 01-15,1,"Washington D.C., USA",Israeli Defense Forces,2015
NATO District Coordination Office/Coordination & Liaison Office Workshop,1,"Oberammergau, Germany",Interdisciplinary Center,2015
NATO District Coordination Office/Coordination & Liaison Office Workshop,1,"Oberammergau, Germany",N/A,2015
NATO District Coordination Office/Coordination & Liaison Office Workshop,1,"Oberammergau, Germany",Portland Trust,2015
NATO District Coordination Office/Coordination & Liaison Office Workshop,3,"Oberammergau, Germany",Private Practice,2015
T. Sinai To Albania,1,"Tirana, Albania",George C. Marshall European Center for Security Studies ,2015
Washington Embassy Orientation 01-15,2,"Washington D.C., USA",Ministry of Foreign Affairs,2015
